tipo_operacion_codigo,usa_intermediario,entidad_cc,pagador,cobrador,tipo_transaccion,es_comision,estado_transaccion,contrapartida_ejecutada,linea,moneda,signo,monto_origen,incluir_en_detalle,concepto_leyenda,condicion_estado_comision
USD-ARS,false,cliente,cliente,pandy,ingreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,cobro_realizado,
USD-ARS,false,cliente,cliente,pandy,ingreso,false,ejecutada,false,1,USD,1,monto_transaccion,true,contra_cobro_entrega_pendiente,
USD-ARS,false,cliente,cliente,pandy,ingreso,false,ejecutada,true,0,ARS,-1,me_prorrateado,true,cobro_realizado,
USD-ARS,false,cliente,cliente,pandy,ingreso,false,ejecutada,true,1,USD,-1,monto_transaccion,true,cobro_realizado,
USD-ARS,false,cliente,cliente,pandy,ingreso,false,pendiente,true,0,USD,-1,monto_transaccion,true,compromiso_cobrar,
USD-ARS,false,cliente,pandy,cliente,egreso,false,ejecutada,false,0,ARS,-1,monto_transaccion,true,compromiso_pago,
USD-ARS,false,cliente,pandy,cliente,egreso,false,ejecutada,false,1,ARS,1,monto_transaccion,true,compromiso_pago,
USD-ARS,false,cliente,pandy,cliente,egreso,false,ejecutada,true,0,ARS,1,monto_transaccion,true,compromiso_pago,
USD-ARS,false,cliente,pandy,cliente,egreso,false,ejecutada,true,1,USD,1,mr_prorrateado,true,compromiso_pago,
USD-ARS,false,cliente,pandy,cliente,egreso,false,pendiente,true,0,ARS,-1,monto_transaccion,true,compromiso_pago,
USD-ARS,true,cliente,cliente,intermediario,ingreso,false,ejecutada,false,0,USD,-1,mr,true,cobro_realizado,
USD-ARS,true,cliente,cliente,intermediario,ingreso,false,ejecutada,false,1,USD,1,mr,true,cobro_realizado,
USD-ARS,true,cliente,cliente,intermediario,ingreso,false,ejecutada,false,2,ARS,-1,me,true,cobro_realizado,
USD-ARS,true,intermediario,cliente,intermediario,ingreso,false,ejecutada,false,0,USD,1,mr,true,cobro_realizado,
USD-ARS,true,cliente,cliente,intermediario,ingreso,false,ejecutada,true,0,ARS,-1,me,true,cobro_realizado,
USD-ARS,true,cliente,cliente,intermediario,ingreso,false,ejecutada,true,1,USD,-1,mr,true,cobro_realizado,
USD-ARS,true,cliente,cliente,intermediario,ingreso,false,ejecutada,true,2,USD,1,mr,true,cobro_realizado,
USD-ARS,true,intermediario,cliente,intermediario,ingreso,false,ejecutada,true,0,USD,1,mr,true,cobro_realizado,
USD-ARS,true,cliente,cliente,intermediario,ingreso,false,pendiente,true,0,ARS,-1,me,true,compromiso_cobrar,
USD-ARS,true,cliente,cliente,intermediario,ingreso,false,pendiente,true,1,USD,-1,mr,true,compromiso_cobrar,
USD-ARS,true,cliente,pandy,cliente,egreso,false,ejecutada,false,0,ARS,1,me,true,compromiso_pago,
USD-ARS,true,cliente,pandy,cliente,egreso,false,ejecutada,true,0,ARS,1,me,true,compromiso_pago,
USD-ARS,true,cliente,cliente,pandy,ingreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,cobro_realizado,
USD-ARS,true,cliente,cliente,pandy,ingreso,false,ejecutada,true,0,USD,-1,monto_transaccion,true,cobro_realizado,
USD-ARS,true,cliente,cliente,pandy,ingreso,false,pendiente,true,0,USD,1,monto_transaccion,true,compromiso_cobrar,
USD-ARS,true,cliente,intermediario,cliente,egreso,false,ejecutada,false,0,ARS,-1,monto_transaccion,true,compromiso_pago,
USD-ARS,true,cliente,intermediario,cliente,egreso,false,ejecutada,false,1,ARS,1,monto_transaccion,true,compromiso_pago,
USD-ARS,true,cliente,intermediario,cliente,egreso,false,ejecutada,true,0,ARS,1,monto_transaccion,true,compromiso_pago,
USD-ARS,true,cliente,intermediario,cliente,egreso,false,pendiente,true,0,USD,1,mr,true,compromiso_pago,
USD-ARS,true,cliente,intermediario,cliente,egreso,false,pendiente,true,1,ARS,-1,me,true,compromiso_pago,
USD-ARS,true,intermediario,intermediario,cliente,egreso,false,ejecutada,false,0,ARS,1,monto_transaccion,true,compromiso_pago,
USD-ARS,true,intermediario,intermediario,cliente,egreso,false,ejecutada,false,1,ARS,-1,monto_transaccion,true,compromiso_pago,
USD-ARS,true,intermediario,intermediario,cliente,egreso,false,ejecutada,true,0,ARS,-1,monto_transaccion,true,compromiso_pago,
ARS-USD,false,cliente,cliente,pandy,ingreso,false,ejecutada,false,0,ARS,-1,monto_transaccion,true,cobro_realizado,
ARS-USD,false,cliente,cliente,pandy,ingreso,false,ejecutada,false,1,ARS,1,monto_transaccion,true,contra_cobro_entrega_pendiente,
ARS-USD,false,cliente,cliente,pandy,ingreso,false,ejecutada,true,0,USD,-1,me_prorrateado,true,cobro_realizado,
ARS-USD,false,cliente,cliente,pandy,ingreso,false,ejecutada,true,1,ARS,-1,monto_transaccion,true,cobro_realizado,
ARS-USD,false,cliente,cliente,pandy,ingreso,false,pendiente,true,0,ARS,-1,monto_transaccion,true,compromiso_cobrar,
ARS-USD,false,cliente,pandy,cliente,egreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,compromiso_pago,
ARS-USD,false,cliente,pandy,cliente,egreso,false,ejecutada,false,1,USD,1,monto_transaccion,true,compromiso_pago,
ARS-USD,false,cliente,pandy,cliente,egreso,false,ejecutada,true,0,USD,1,monto_transaccion,true,compromiso_pago,
ARS-USD,false,cliente,pandy,cliente,egreso,false,ejecutada,true,1,ARS,1,mr_prorrateado,true,compromiso_pago,
ARS-USD,false,cliente,pandy,cliente,egreso,false,pendiente,true,0,USD,-1,monto_transaccion,true,compromiso_pago,
ARS-USD,true,cliente,cliente,intermediario,ingreso,false,ejecutada,false,0,ARS,-1,mr,true,cobro_realizado,
ARS-USD,true,cliente,cliente,intermediario,ingreso,false,ejecutada,false,1,ARS,1,mr,true,cobro_realizado,
ARS-USD,true,cliente,cliente,intermediario,ingreso,false,ejecutada,false,2,USD,-1,me,true,cobro_realizado,
ARS-USD,true,intermediario,cliente,intermediario,ingreso,false,ejecutada,false,0,ARS,1,mr,true,cobro_realizado,
ARS-USD,true,cliente,cliente,intermediario,ingreso,false,ejecutada,true,0,USD,-1,me,true,cobro_realizado,
ARS-USD,true,cliente,cliente,intermediario,ingreso,false,ejecutada,true,1,ARS,-1,mr,true,cobro_realizado,
ARS-USD,true,cliente,cliente,intermediario,ingreso,false,ejecutada,true,2,ARS,1,mr,true,cobro_realizado,
ARS-USD,true,intermediario,cliente,intermediario,ingreso,false,ejecutada,true,0,ARS,1,mr,true,cobro_realizado,
ARS-USD,true,cliente,cliente,intermediario,ingreso,false,pendiente,true,0,USD,-1,me,true,compromiso_cobrar,
ARS-USD,true,cliente,cliente,intermediario,ingreso,false,pendiente,true,1,ARS,-1,mr,true,compromiso_cobrar,
ARS-USD,true,cliente,pandy,cliente,egreso,false,ejecutada,false,0,USD,1,me,true,compromiso_pago,
ARS-USD,true,cliente,pandy,cliente,egreso,false,ejecutada,true,0,USD,1,me,true,compromiso_pago,
ARS-USD,true,cliente,cliente,pandy,ingreso,false,ejecutada,false,0,ARS,-1,monto_transaccion,true,cobro_realizado,
ARS-USD,true,cliente,cliente,pandy,ingreso,false,ejecutada,true,0,ARS,-1,monto_transaccion,true,cobro_realizado,
ARS-USD,true,cliente,cliente,pandy,ingreso,false,pendiente,true,0,ARS,1,monto_transaccion,true,compromiso_cobrar,
ARS-USD,true,cliente,intermediario,cliente,egreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,compromiso_pago,
ARS-USD,true,cliente,intermediario,cliente,egreso,false,ejecutada,false,1,USD,1,monto_transaccion,true,compromiso_pago,
ARS-USD,true,cliente,intermediario,cliente,egreso,false,ejecutada,true,0,USD,1,monto_transaccion,true,compromiso_pago,
ARS-USD,true,cliente,intermediario,cliente,egreso,false,pendiente,true,0,ARS,1,mr,true,compromiso_pago,
ARS-USD,true,cliente,intermediario,cliente,egreso,false,pendiente,true,1,USD,-1,me,true,compromiso_pago,
ARS-USD,true,intermediario,intermediario,cliente,egreso,false,ejecutada,false,0,USD,1,monto_transaccion,true,compromiso_pago,
ARS-USD,true,intermediario,intermediario,cliente,egreso,false,ejecutada,false,1,USD,-1,monto_transaccion,true,compromiso_pago,
ARS-USD,true,intermediario,intermediario,cliente,egreso,false,ejecutada,true,0,USD,-1,monto_transaccion,true,compromiso_pago,
USD-USD,false,cliente,cliente,pandy,ingreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,cobro_realizado,
USD-USD,false,cliente,cliente,pandy,ingreso,false,ejecutada,true,0,USD,-1,monto_transaccion,true,cobro_realizado,
USD-USD,false,cliente,cliente,pandy,ingreso,false,pendiente,true,0,USD,1,monto_transaccion,true,compromiso_cobrar,
USD-USD,false,cliente,pandy,cliente,egreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,compromiso_pago,
USD-USD,false,cliente,pandy,cliente,egreso,false,ejecutada,false,1,USD,1,monto_transaccion,true,compromiso_pago,
USD-USD,false,cliente,pandy,cliente,egreso,false,ejecutada,true,0,USD,1,monto_transaccion,true,compromiso_pago,
USD-USD,false,cliente,pandy,cliente,egreso,false,pendiente,true,0,USD,1,mr,true,compromiso_pago,
USD-USD,false,cliente,pandy,cliente,egreso,false,pendiente,true,1,USD,-1,me,true,compromiso_pago,
USD-USD,false,cliente,cliente,pandy,ingreso,true,ejecutada,true,0,USD,1,mr_menos_me,true,comision_acuerdo,
USD-USD,true,cliente,cliente,pandy,ingreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,cobro_realizado,
USD-USD,true,cliente,cliente,pandy,ingreso,false,ejecutada,true,0,USD,-1,monto_transaccion,true,cobro_realizado,
USD-USD,true,cliente,cliente,pandy,ingreso,false,pendiente,true,0,USD,1,monto_transaccion,true,compromiso_cobrar,
USD-USD,true,cliente,cliente,intermediario,ingreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,cobro_realizado,
USD-USD,true,cliente,cliente,intermediario,ingreso,false,ejecutada,true,0,USD,-1,monto_transaccion,true,cobro_realizado,
USD-USD,true,cliente,cliente,intermediario,ingreso,false,pendiente,true,0,USD,1,monto_transaccion,true,compromiso_cobrar,
USD-USD,true,cliente,pandy,cliente,egreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,compromiso_pago,
USD-USD,true,cliente,pandy,cliente,egreso,false,ejecutada,false,1,USD,1,monto_transaccion,true,compromiso_pago,
USD-USD,true,cliente,pandy,cliente,egreso,false,ejecutada,true,0,USD,1,monto_transaccion,true,compromiso_pago,
USD-USD,true,cliente,pandy,cliente,egreso,false,pendiente,true,0,USD,1,mr,true,compromiso_pago,
USD-USD,true,cliente,pandy,cliente,egreso,false,pendiente,true,1,USD,-1,me,true,compromiso_pago,
USD-USD,true,cliente,intermediario,cliente,egreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,compromiso_pago,
USD-USD,true,cliente,intermediario,cliente,egreso,false,ejecutada,false,1,USD,1,monto_transaccion,true,compromiso_pago,
USD-USD,true,cliente,intermediario,cliente,egreso,false,ejecutada,true,0,USD,1,monto_transaccion,true,compromiso_pago,
USD-USD,true,cliente,intermediario,cliente,egreso,false,pendiente,true,0,USD,1,mr,true,compromiso_pago,
USD-USD,true,cliente,intermediario,cliente,egreso,false,pendiente,true,1,USD,-1,me,true,compromiso_pago,
USD-USD,true,intermediario,intermediario,cliente,egreso,false,ejecutada,false,0,USD,1,monto_transaccion,true,compromiso_pago,
USD-USD,true,intermediario,intermediario,cliente,egreso,false,ejecutada,false,1,USD,-1,monto_transaccion,true,compromiso_pago,
USD-USD,true,intermediario,intermediario,cliente,egreso,false,ejecutada,true,0,USD,-1,monto_transaccion,true,compromiso_pago,
USD-USD,true,intermediario,pandy,cliente,egreso,false,ejecutada,false,0,USD,-1,monto_transaccion,true,compromiso_pago,
USD-USD,true,intermediario,pandy,cliente,egreso,false,ejecutada,false,1,USD,1,monto_transaccion,true,compromiso_pago,
USD-USD,true,intermediario,pandy,cliente,egreso,false,ejecutada,true,0,USD,1,monto_transaccion,true,compromiso_pago,
USD-USD,true,intermediario,pandy,cliente,egreso,false,pendiente,true,0,USD,1,mr,true,compromiso_pago,
USD-USD,true,intermediario,pandy,cliente,egreso,false,pendiente,true,1,USD,-1,me,true,compromiso_pago,
USD-USD,true,cliente,cliente,pandy,ingreso,true,ejecutada,true,0,USD,1,mr_menos_me,true,comision_acuerdo,
USD-USD,true,intermediario,pandy,intermediario,egreso,true,ejecutada,true,0,USD,-1,comision_intermediario,true,comision_acuerdo,
CHEQUE-ARS,true,cliente,cliente,pandy,ingreso,false,ejecutada,false,0,ARS,-1,mr,true,cobro_realizado,
CHEQUE-ARS,true,cliente,cliente,pandy,ingreso,false,ejecutada,true,0,ARS,-1,mr,true,cobro_realizado,
CHEQUE-ARS,true,cliente,pandy,cliente,egreso,false,ejecutada,false,0,ARS,1,monto_transaccion,true,compromiso_pago,
CHEQUE-ARS,true,cliente,pandy,cliente,egreso,false,ejecutada,true,0,ARS,1,monto_transaccion,true,compromiso_pago,
CHEQUE-ARS,true,intermediario,pandy,intermediario,egreso,false,ejecutada,false,0,ARS,1,monto_transaccion,true,pago_realizado,
CHEQUE-ARS,true,intermediario,pandy,intermediario,egreso,false,ejecutada,true,0,ARS,1,monto_transaccion,true,pago_realizado,
CHEQUE-ARS,true,intermediario,pandy,intermediario,egreso,false,pendiente,true,0,ARS,1,monto_transaccion,true,pago_realizado,
CHEQUE-ARS,true,intermediario,intermediario,pandy,ingreso,false,ejecutada,true,0,ARS,-1,monto_efectivo_intermediario,true,cobro_realizado,
CHEQUE-ARS,true,cliente,cliente,pandy,ingreso,true,ejecutada,false,0,ARS,1,mr,true,comision_acuerdo,par_cliente
CHEQUE-ARS,true,cliente,cliente,pandy,ingreso,true,ejecutada,true,0,ARS,1,mr,true,comision_acuerdo,par_cliente
CHEQUE-ARS,true,cliente,cliente,pandy,ingreso,true,pendiente,false,0,ARS,1,mr,true,comision_acuerdo,par_cliente
CHEQUE-ARS,true,cliente,cliente,pandy,ingreso,true,pendiente,true,0,ARS,1,mr,true,comision_acuerdo,par_cliente
CHEQUE-ARS,true,intermediario,pandy,intermediario,egreso,true,ejecutada,false,0,ARS,-1,me,true,comision_acuerdo,par_pandy_int
CHEQUE-ARS,true,intermediario,pandy,intermediario,egreso,true,ejecutada,true,0,ARS,-1,me,true,comision_acuerdo,par_pandy_int
CHEQUE-ARS,true,intermediario,pandy,intermediario,egreso,true,pendiente,false,0,ARS,-1,me,true,comision_acuerdo,par_pandy_int
CHEQUE-ARS,true,intermediario,pandy,intermediario,egreso,true,pendiente,true,0,ARS,-1,me,true,comision_acuerdo,par_pandy_int
