id,tipo_operacion_codigo,usa_intermediario,pagador,cobrador,tipo_transaccion,es_comision,estado_transaccion,contrapartida_ejecutada,linea,moneda,signo,monto_origen,incluir_en_detalle,concepto_leyenda,created_at,entidad_cc,condicion_estado_comision
00f0d224-70f5-4a2b-94c3-5271e0c1c5e5,ARS-USD,true,cliente,pandy,ingreso,false,ejecutada,false,0,ARS,-1,monto_transaccion,true,cobro_realizado,2026-03-22 02:42:26.719108+00,cliente,
02588708-ae56-4891-9b4c-ce7c166b994f,ARS-USD,true,cliente,intermediario,ingreso,false,pendiente,true,0,USD,-1,me,true,compromiso_cobrar,2026-03-21 14:21:40.155823+00,cliente,
02a2b2ff-ac2e-48a5-a4c0-99e92a8bc93f,ARS-USD,true,cliente,intermediario,ingreso,false,ejecutada,true,0,ARS,1,mr,true,cobro_realizado,2026-03-21 14:21:40.155823+00,intermediario,
02a630dd-cb9f-4d5a-a5b6-0a1685572cbc,CHEQUE-ARS,true,cliente,pandy,ingreso,true,ejecutada,true,0,ARS,1,mr,true,comision_acuerdo,2026-03-21 16:20:40.872534+00,cliente,par_cliente
02d350a3-588b-452e-81b8-181801d81a1d,EUR-ARS,false,cliente,pandy,ingreso,false,ejecutada,true,1,EUR,-1,monto_transaccion,true,cobro_realizado,2026-03-22 16:05:58.322146+00,cliente,
0425fee1-e379-4290-ae72-b04633e3df86,ARS-USD,false,pandy,cliente,egreso,false,pendiente,true,0,USD,-1,monto_transaccion,true,compromiso_pago,2026-03-22 16:05:58.322146+00,cliente,
043161b6-3fdf-49b8-97f1-d2e6a76e2ada,EUR-USD,true,cliente,intermediario,ingreso,false,ejecutada,true,0,USD,-1,me,true,cobro_realizado,2026-03-23 14:53:08.149945+00,cliente,
04875109-0f0a-4ec5-a57d-a95457e364e6,ARS-EUR,true,intermediario,cliente,egreso,false,ejecutada,true,0,EUR,-1,monto_transaccion,true,compromiso_pago,2026-03-23 14:53:08.149945+00,intermediario,
04dc4a5f-359b-4762-a05a-f8cfcc8534cb,ARS-USD,false,cliente,pandy,ingreso,false,ejecutada,true,0,USD,-1,me_prorrateado,true,cobro_realizado,2026-03-22 16:05:58.322146+00,cliente,
06b481b1-249c-48b6-a544-83f78d5aabc6,USD-EUR,true,pandy,cliente,egreso,false,ejecutada,false,0,EUR,1,me,true,compromiso_pago,2026-03-23 14:53:08.149945+00,cliente,
07b7750c-56e9-4293-858b-7d18858ca1c3,ARS-USD,false,cliente,pandy,ingreso,false,ejecutada,false,0,ARS,-1,monto_transaccion,true,cobro_realizado,2026-03-22 16:05:58.322146+00,cliente,
08cd7715-0f42-4dce-9e72-58d0936b559d,EUR-ARS,true,cliente,intermediario,ingreso,false,ejecutada,false,1,EUR,1,mr,true,cobro_realizado,2026-03-23 14:53:08.149945+00,cliente,
098943b8-99a5-497f-bbfb-00692b0e4bdb,ARS-EUR,false,cliente,pandy,ingreso,false,ejecutada,true,1,ARS,-1,monto_transaccion,true,cobro_realizado,2026-03-22 16:05:58.322146+00,cliente,
0a049220-9df6-4ef4-9893-1021819978b7,USD-ARS,false,pandy,cliente,egreso,false,ejecutada,false,0,ARS,-1,monto_transaccion,true,compromiso_pago,2026-03-22 16:05:58.322146+00,cliente,
0a34c1df-dfab-446c-9bcf-00a8f00d076a,USD-USD,true,intermediario,cliente,egreso,false,ejecutada,false,0,USD,1,monto_transaccion,true,compromiso_pago,2026-03-23 14:19:07.551799+00,intermediario,
0c7ef353-c9dc-43af-b22f-5796b0dcfb97,USD-EUR,true,intermediario,cliente,egreso,false,ejecutada,false,0,EUR,-1,monto_transaccion,true,compromiso_pago,2026-03-23 14:53:08.149945+00,cliente,
0cd609b7-a80f-44c5-bbf6-039b30f29c21,ARS-EUR,true,cliente,intermediario,ingreso,false,pendiente,true,0,EUR,-1,me,true,compromiso_cobrar,2026-03-23 14:53:08.149945+00,cliente,
0dcde582-624a-4448-bb06-9ea73d0078ba,USD-EUR,true,cliente,pandy,ingreso,false,pendiente,true,0,USD,1,monto_transaccion,true,compromiso_cobrar,2026-03-23 14:53:08.149945+00,cliente,
0e994883-9f38-4bee-a06e-905351250e2b,USD-ARS,true,cliente,intermediario,ingreso,false,ejecutada,false,0,USD,1,mr,true,cobro_realizado,2026-03-21 13:16:59.012727+00,intermediario,
0fde26f9-d80e-4173-ab4a-f9730cc57250,EUR-ARS,true,pandy,cliente,egreso,false,ejecutada,false,0,ARS,1,me,true,compromiso_pago,2026-03-23 14:53:08.149945+00,cliente,
0fec5dc0-59cd-4227-8eca-dcb2c49bacf7,ARS-USD,true,intermediario,cliente,egreso,false,ejecutada,true,0,USD,-1,monto_transaccion,true,compromiso_pago,2026-03-23 14:19:07.551799+00,intermediario,
14275280-12fb-4729-b7e2-e79578db3e9f,ARS-EUR,true,intermediario,cliente,egreso,false,pendiente,true,1,EUR,-1,me,true,compromiso_pago,2026-03-23 14:53:08.149945+00,cliente,
156190d1-fd53-4a8b-9c6d-14da45c55175,ARS-USD,true,cliente,intermediario,ingreso,false,ejecutada,false,2,USD,-1,me,true,cobro_realizado,2026-03-21 14:21:40.155823+00,cliente,
1663ce23-fe9e-4f48-99da-f7975a9f824e,EUR-ARS,true,intermediario,cliente,egreso,false,ejecutada,false,1,ARS,1,monto_transaccion,true,compromiso_pago,2026-03-23 14:53:08.149945+00,cliente,
